sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric	Site	Species	Type	Month_Collected_Number	Month_Collected	Long	Lat	Elevation	Clade
CC_2B_RUDIS	168553	165280	98.06	164305	154252	91.52	153644	91.15	Cades Cove	Rudis	Ant	11/1/19	November	-83.84299	35.59214	530.0472	Red
CC_2C_CARO	280664	276122	98.38	275035	267834	95.43	249070	88.74	Cades Cove	Carolinensis	Ant	11/1/19	November	-83.84299	35.59214	530.0472	Red
CC_2D_CARO	415427	407991	98.21	406641	394475	94.96	383698	92.36	Cades Cove	Carolinensis	Ant	11/1/19	November	-83.84299	35.59214	530.0472	Red
RC_2B_PICEA	365899	356404	97.41	354459	337753	92.31	327347	89.46	Ramsey Cascades	Picea	Ant	11/1/19	November	-83.34219	35.7083	950.6712	Red
SD_2E_PICEA	233484	226164	96.86	224611	212102	90.84	206834	88.59	Snake Den Ridge	Picea	Ant	11/1/19	November	-83.2198	35.74359	934.5168	Blue
TC_2B_RUDIS	331493	327233	98.71	325924	311702	94.03	290398	87.6	Twin Creeks	Rudis	Ant	11/1/19	November	-83.49911	35.68582	622.4016	Red
TM_2D_PICEA	486326	467927	96.22	464338	450719	92.68	441639	90.81	Tremont	Picea	Ant	11/1/19	November	-83.69629	35.64238	462.6864	Red
TM_2E_RUDIS	371272	362088	97.53	359763	290356	78.21	280106	75.44	Tremont	Rudis	Ant	11/1/19	November	-83.69629	35.64238	462.6864	Red
AC_4B_CARO	373457	368145	98.58	366478	354586	94.95	336822	90.19	Abram's Creek	Carolinensis	Ant	3/1/20	March	-83.9312	35.61037	359.3592	NA
BMM_4A_CARO	307172	294296	95.81	292200	280131	91.2	261300	85.07	Brushy Mountain Myrtle	Carolinensis	Ant	3/1/20	March	-83.43149	35.67667	1494.7392	Blue
BMM_4B_PICEA	201412	195837	97.23	194724	175137	86.95	173309	86.05	Brushy Mountain Myrtle	Picea	Ant	3/1/20	March	-83.43149	35.67667	1494.7392	Red
BMM_4C_PICEA	439044	429041	97.72	427465	412650	93.99	407671	92.85	Brushy Mountain Myrtle	Picea	Ant	3/1/20	March	-83.43149	35.67667	1494.7392	Blue
BMM_4E_CARO	206859	202678	97.98	201641	189881	91.79	189054	91.39	Brushy Mountain Myrtle	Carolinensis	Ant	3/1/20	March	-83.43149	35.67667	1494.7392	Blue
CL_4A_PICEA	6040	5869	97.17	5251	4969	82.27	4961	82.14	Cataloochee	Picea	Ant	3/1/20	March	-83.08137	35.58613	1387.7544	Red
OCO_4_ASP_2_TENN	258363	249368	96.52	247475	232459	89.97	228536	88.46	Oconaluftee	Tennesseeinsis	Ant	3/1/20	March	-83.30119	35.50909	621.1824	Red
TG_4B_PICEA	237411	233311	98.27	231924	218626	92.09	211625	89.14	Trillium Gap	Picea	Ant	3/1/20	March	-83.43349	35.67383	1455.42	Red
AG_5A_CARO	215519	212297	98.51	211254	200925	93.23	195103	90.53	Albright Grove	Carolinensis	Ant	6/1/20	June	-83.28062	35.73447	1042.7208	NA
AG_5A_PICEA	307635	301710	98.07	300310	241980	78.66	240193	78.08	Albright Grove	Picea	Ant	6/1/20	June	-83.28062	35.73447	1042.7208	Blue
AG_5B_CARO	116752	114105	97.73	112964	106992	91.64	106705	91.39	Albright Grove	Carolinensis	Ant	6/1/20	June	-83.28062	35.73447	1042.7208	NA
AG_5B_PICEA	188295	184912	98.2	184089	174495	92.67	173147	91.96	Albright Grove	Picea	Ant	6/1/20	June	-83.28062	35.73447	1042.7208	NA
AG_5C_CARO	256534	251521	98.05	249952	242052	94.35	235282	91.72	Albright Grove	Carolinensis	Ant	6/1/20	June	-83.28062	35.73447	1042.7208	Blue
AG_5D_PICEA	59429	58294	98.09	57486	56107	94.41	55654	93.65	Albright Grove	Picea	Ant	6/1/20	June	-83.28062	35.73447	1042.7208	NA
BM_5B_PICEA	441239	418662	94.88	416291	405674	91.94	401445	90.98	Brushy Mountain	Picea	Ant	6/1/20	June	-83.43149	35.67667	1505.1024	Blue
BM_5E_PICEA	475998	467900	98.3	467055	454892	95.57	434299	91.24	Brushy Mountain	Picea	Ant	6/1/20	June	-83.43149	35.67667	1505.1024	Red
BMM_5B_PICEA	329699	319027	96.76	316763	309393	93.84	303082	91.93	Brushy Mountain Myrtle	Picea	Ant	6/1/20	June	-83.43149	35.67667	1494.7392	Blue
BMM_5D_PICEA	433752	424373	97.84	421644	405821	93.56	383526	88.42	Brushy Mountain Myrtle	Picea	Ant	6/1/20	June	-83.43149	35.67667	1494.7392	Blue
CC_5D_PICEA	89590	87861	98.07	86989	84458	94.27	83726	93.45	Cades Cove	Picea	Ant	6/1/20	June	-83.84299	35.59214	530.0472	Blue
CL_5C_CARO	328332	321041	97.78	319069	311425	94.85	306126	93.24	Cataloochee	Carolinensis	Ant	6/1/20	June	-83.08137	35.58613	1387.7544	Blue
OCO_5B_PICEA	383641	374601	97.64	371824	358743	93.51	344878	89.9	Oconaluftee	Picea	Ant	6/1/20	June	-83.30119	35.50909	621.1824	Blue
OCO_5C_PICEA	484754	478347	98.68	475671	462643	95.44	438572	90.47	Oconaluftee	Picea	Ant	6/1/20	June	-83.30119	35.50909	621.1824	Red
PK_5A_PICEA	3492	3316	94.96	2415	2184	62.54	2172	62.2	Purchase Knob	Picea	Ant	6/1/20	June	-83.05956	35.59196	1300.2768	Red
